Age,Height,Weight,BMI,Gender
11,157,53,21.5,1
18,171,56,19.15,0
7,135,28,15.36,0
4,108,20,17.15,1
2,100,16,16.0,1
55,167,80,28.69,0
14,141,39,19.62,0
35,169,71,24.86,0
18,173,68,22.72,0
24,185,75,21.91,0
2,97,19,20.19,0
90,169,58,20.31,0
18,177,57,18.19,0
10,135,27,14.81,1
6,121,30,20.49,0
37,186,74,21.39,0
15,145,44,20.93,1
21,190,76,21.05,1
7,132,30,17.22,1
6,117,31,22.65,0
6,140,28,14.29,0
20,177,72,22.98,0
21,185,77,22.5,1
53,173,92,30.74,0
32,186,77,22.26,1
9,135,26,14.27,1
19,161,54,20.83,0
10,119,21,14.83,0
27,167,66,23.67,1
13,153,42,17.94,0
89,165,74,27.18,1
14,141,52,26.16,0
18,165,59,21.67,1
76,176,55,17.76,0
11,152,50,21.64,0
16,166,52,18.87,0
84,168,61,21.61,0
82,173,63,21.05,1
11,151,46,20.17,1
11,157,39,15.82,0
14,154,52,21.93,0
15,162,38,14.48,0
19,165,74,27.18,0
48,157,78,31.64,0
14,151,44,19.3,0
65,174,60,19.82,1
13,141,40,20.12,1
67,172,74,25.01,1
5,98,16,16.66,0
54,178,61,19.25,0
7,135,28,15.36,1
10,120,29,20.14,0
47,177,80,25.54,1
89,169,76,26.61,1
14,141,50,25.15,1
14,163,55,20.7,1
58,168,64,22.68,1
9,122,33,22.17,0
16,175,65,21.22,0
10,110,25,20.66,1
42,167,80,28.69,0
18,179,74,23.1,0
90,155,70,29.14,0
34,179,82,25.59,0
32,164,55,20.45,1
16,175,65,21.22,0
36,168,74,26.22,0
16,156,56,23.01,0
78,150,67,29.78,1
22,170,62,21.45,1
67,179,55,17.17,1
5,89,20,25.25,0
67,163,67,25.22,1
10,117,28,20.45,0
2,100,15,15.0,0
58,162,79,30.1,0
12,160,54,21.09,1
53,173,62,20.72,0
60,184,65,19.2,1
88,165,83,30.49,1
9,135,24,13.17,0
19,170,74,25.61,0
59,170,67,23.18,1
48,183,62,18.51,0
89,169,75,26.26,1
10,130,23,13.61,1
15,147,47,21.75,0
53,176,75,24.21,1
17,160,66,25.78,0
87,152,68,29.43,1
5,107,11,9.61,1
9,140,33,16.84,0
12,150,39,17.33,0
16,177,64,20.43,1
7,137,23,12.25,0
11,146,44,20.64,0
5,105,18,16.33,0
39,175,56,18.29,1
49,157,86,34.89,0
7,140,32,16.33,1
12,146,43,20.17,1
16,158,74,29.64,0
55,166,69,25.04,0
13,156,50,20.55,0
70,168,79,27.99,1
7,121,28,19.12,0
3,106,19,16.91,0
8,138,33,17.33,0
15,140,51,26.02,1
57,175,83,27.1,1
20,179,59,18.41,1
16,156,58,23.83,1
13,142,51,25.29,0
2,90,17,20.99,0
13,161,55,21.22,1
59,157,65,26.37,1
6,117,23,16.8,1
16,164,63,23.42,0
9,110,28,23.14,1
39,188,77,21.79,1
13,160,40,15.62,0
55,170,63,21.8,1
30,171,78,26.67,0
51,157,62,25.15,0
4,90,15,18.52,1
12,144,42,20.25,0
6,135,31,17.01,0
38,166,75,27.22,1
4,100,10,10.0,0
58,175,70,22.86,0
68,158,71,28.44,1
20,156,55,22.6,1
80,180,61,18.83,1
14,154,35,14.76,1
32,182,70,21.13,1
19,162,50,19.05,1
65,170,73,25.26,1
49,167,88,31.55,0
81,176,58,18.72,0
86,151,63,27.63,0
4,93,11,12.72,0
59,160,83,32.42,0
12,146,51,23.93,0
8,135,20,10.97,0
86,160,82,32.03,0
73,161,57,21.99,0
32,177,74,23.62,1
3,108,20,17.15,1
29,171,72,24.62,0
17,158,68,27.24,1
20,164,59,21.94,1
7,121,27,18.44,1
31,175,70,22.86,0
22,178,74,23.36,0
82,179,81,25.28,0
4,107,14,12.23,1
77,167,80,28.69,0
13,147,48,22.21,1
8,138,20,10.5,1
3,102,19,18.26,1
57,177,83,26.49,0
4,92,16,18.9,0
23,180,71,21.91,0
7,120,35,24.31,1
18,173,65,21.72,0
30,169,78,27.31,1
15,144,52,25.08,1
8,133,26,14.7,0
5,86,17,22.99,0
34,179,59,18.41,0
19,156,50,20.55,0
12,147,45,20.82,0
90,175,66,21.55,1
28,190,87,24.1,1
7,124,21,13.66,0
81,164,82,30.49,0
50,183,83,24.78,1
39,177,61,19.47,1
16,160,57,22.27,0
8,139,24,12.42,1
2,110,15,12.4,1
40,188,86,24.33,1
17,172,74,25.01,1
19,174,73,24.11,1
9,113,27,21.14,1
76,150,64,28.44,0
74,173,65,21.72,0
30,174,58,19.16,1
15,154,41,17.29,0
